时间,仿真时间,真实压高度,仿真气压高度,真实指示空速,仿真指示空速,真实真空速,仿真真空速,真实马赫数,仿真马赫数,真实垂直速度,仿真垂直速度,真实大气静温,仿真大气静温
0,0,0,-49.4814285185489,244.025631675714,242.4187074434,260,241.820166351658,0.764044928757698,0.710510693645612,8.25,0,288.15,292.407065872576
0.1,0.1,0.824998026085614,-48.5775243011859,244.016383964169,241.90506469938,259.999210434245,241.318683320687,0.764049718049136,0.709038222666389,8.24996052171227,0.0124076918709263,288.14463751283,292.556663932803
0.2,0.2,1.64998815659161,-37.0315913275334,244.005819236431,242.273350121027,259.996841768153,241.825472333656,0.764049866942975,0.710550870124389,8.24984208840763,-0.0485975036150416,288.139275076982,292.556115684139
0.3,0.3,2.47496249625007,-30.3864258175512,243.993937750832,242.584250729566,259.992894095232,242.2161825174,0.764045375516435,0.711712445895652,8.24964470476162,-0.0239347651351484,288.133912743774,292.473886624931
0.4,0.4,3.29991315041648,-36.2780561085131,243.980739810409,242.664856460885,259.987367571332,242.225371259283,0.764036244029936,0.711727857582915,8.2493683785666,0.0459556063519305,288.128550564522,292.256041914238
0.5,0.5,4.12483222538139,-39.9790844165438,243.96622576289,242.786925551338,259.980262414629,242.302426132816,0.764022472927092,0.711947089215519,8.24901312073146,0.0359223589256373,288.123188590535,292.289853350212
0.6,0.6,4.94971182868202,-28.6081643205629,243.950396000682,243.336019899506,259.971578905624,242.988395322853,0.764004062834708,0.713985715648445,8.24857894528118,-0.0489989936338857,288.117826873114,292.036639945679
0.7,0.7,5.77454406941389,-17.0644392969455,243.933250960857,243.776939416907,259.961317387125,243.569122709065,0.763981014562757,0.715715035815837,8.24806586935625,-0.0534561788953164,288.112465463549,291.900678162282
0.8,0.8,6.5993210585423,-9.006802801684,243.91479112514,244.004970374918,259.949478264241,243.895147696223,0.763953329104359,0.716688820422087,8.24747391321204,-0.0372964432875417,288.107104413119,291.700294243561
0.9,0.9,7.4240349092138,-10.4611195045735,243.89501701989,243.910425829364,259.936062004359,243.782926374162,0.763921007635746,0.71635620262547,8.24680310021795,0.0148070584178744,288.10174377309,291.781273930874
1,1,8.24867773706753,-5.83430381881037,243.873929216087,243.960333422841,259.921069137131,243.889198816736,0.763884051516226,0.71667748472132,8.24605345685654,-0.0195180168155397,288.096383594709,291.762539698625
1.1,1.1,9.07324166054648,-2.22703312970262,243.851528329318,243.977011313595,259.904500254449,243.94985285761,0.763842462288138,0.716862719792063,8.24522501272245,-0.0150172188680149,288.091023929206,291.768378340761
1.2,1.2,9.89771880120866,0.201205988913023,243.827815019757,244.047198541454,259.886356010425,244.049653151303,0.763796241676793,0.717160698681383,8.24431780052123,-0.00953179916629679,288.085664827792,291.769072492757
1.3,1.3,10.7221012840381,-1.26921486376558,243.802789992148,243.875721698477,259.866637121361,243.860249632951,0.763745391590419,0.716601267049956,8.24333185606806,0.0121063250640696,288.080306341654,291.77516033868
1.4,1.4,11.5463812377558,-1.69363528851855,243.776453995789,243.8528601953,259.845344365727,243.832216585516,0.763689914120091,0.716518064634715,8.24226721828635,0.00633392438531511,288.074948521955,291.77555154453
