时间,仿真时间,真实压高度,仿真气压高度,真实指示空速,仿真指示空速,真实真空速,仿真真空速,真实马赫数,仿真马赫数,真实垂直速度,仿真垂直速度,真实大气静温,仿真大气静温
0,0,0,13.5105317118184,244.025631675714,243.781333776732,260,243.946055294009,0.764044928757698,0.716882119312543,8.25,0,288.15,291.556821528619
0.1,0.1,0.824998026085614,18.5507846563495,244.016383964169,244.203013793811,259.999210434245,244.429619155482,0.764049718049136,0.718312693005146,8.24996052171227,-0.0337341359947185,288.14463751283,291.63925736254
0.2,0.2,1.64998815659161,11.6371268362411,244.005819236431,243.896579532136,259.996841768153,244.038517766841,0.764049866942975,0.717150157180559,8.24984208840763,0.0329769542903403,288.139275076982,291.774180719774
0.3,0.3,2.47496249625007,10.2081229608245,243.993937750832,243.848660767396,259.992894095232,243.973138500762,0.764045375516435,0.716955276997931,8.24964470476162,0.00373783835896943,288.133912743774,291.861954112314
0.4,0.4,3.29991315041648,11.9370528245186,243.980739810409,244.056090025884,259.987367571332,244.201783269848,0.764036244029936,0.71763045925842,8.2493683785666,-0.0139991959465372,288.128550564522,291.798853583255
0.5,0.5,4.12483222538139,11.5397905621978,243.96622576289,244.005220318263,259.980262414629,244.146033539295,0.764022472927092,0.717465880579871,8.24901312073146,-0.00252850093896771,288.123188590535,291.735976336806
0.6,0.6,4.94971182868202,10.6289898965894,243.950396000682,244.512634275138,259.971578905624,244.642598953043,0.764004062834708,0.718923178245677,8.24857894528118,0.00044043980493352,288.117826873114,291.5923393162
0.7,0.7,5.77454406941389,7.29449725765431,243.933250960857,244.405956095308,259.961317387125,244.495098972099,0.763981014562757,0.718483344518347,8.24806586935625,0.0145298915815994,288.112465463549,291.655576540131
0.8,0.8,6.5993210585423,14.7261288625625,243.91479112514,244.616723637038,259.949478264241,244.796889017108,0.763953329104359,0.719384409471041,8.24747391321204,-0.0461958419007948,288.107104413119,291.617397748792
0.9,0.9,7.4240349092138,20.4790893938631,243.89501701989,244.792648441158,259.936062004359,245.043430396116,0.763921007635746,0.720119837633491,8.24680310021795,-0.0393216960243007,288.10174377309,291.507691397843
1,1,8.24867773706753,19.4717717752054,243.873929216087,244.662218719475,259.921069137131,244.900529546759,0.763884051516226,0.719698049333788,8.24605345685654,-0.00270671008454175,288.096383594709,291.485506491458
1.1,1.1,9.07324166054648,18.4070445615794,243.851528329318,244.508685814379,259.904500254449,244.733815605087,0.763842462288138,0.71920617784113,8.24522501272245,-0.00228521499466096,288.091023929206,291.559945062507
1.2,1.2,9.89771880120866,17.2226484040911,243.827815019757,244.429769127069,259.886356010425,244.64033596666,0.763796241676793,0.718929239210045,8.24431780052123,-0.0014177584184586,288.085664827792,291.600539362215
1.3,1.3,10.7221012840381,18.8681007089817,243.802789992148,244.427274540185,259.866637121361,244.657970362593,0.763745391590419,0.7189842256416,8.24333185606806,-0.0174593406371456,288.080306341654,291.594484175117
